window_id,media_id,system_id,room_id,session_id,source_type,start_time,end_time,duration_seconds,video_path,video_start_offset_sec,has_audio,zone_config_id,quality_status,warnings
video_000001_w0047,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:26-03:00,2025-08-17T08:03:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,460.0,True,default_zone,warning,mapping_override
video_000001_w0048,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:36-03:00,2025-08-17T08:04:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,470.0,True,default_zone,warning,mapping_override
video_000001_w0049,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:46-03:00,2025-08-17T08:04:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,480.0,True,default_zone,warning,mapping_override
video_000001_w0050,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:03:56-03:00,2025-08-17T08:04:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,490.0,True,default_zone,warning,mapping_override
video_000001_w0051,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:06-03:00,2025-08-17T08:04:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,500.0,True,default_zone,warning,mapping_override
video_000001_w0052,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:16-03:00,2025-08-17T08:04:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,510.0,True,default_zone,warning,mapping_override
video_000001_w0053,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:26-03:00,2025-08-17T08:04:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,520.0,True,default_zone,warning,mapping_override
video_000001_w0054,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:36-03:00,2025-08-17T08:05:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,530.0,True,default_zone,warning,mapping_override
video_000001_w0055,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:46-03:00,2025-08-17T08:05:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,540.0,True,default_zone,warning,mapping_override
video_000001_w0056,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:04:56-03:00,2025-08-17T08:05:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,550.0,True,default_zone,warning,mapping_override
video_000001_w0057,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:06-03:00,2025-08-17T08:05:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,560.0,True,default_zone,warning,mapping_override
video_000001_w0058,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:16-03:00,2025-08-17T08:05:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,570.0,True,default_zone,warning,mapping_override
video_000001_w0059,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:26-03:00,2025-08-17T08:05:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,580.0,True,default_zone,warning,mapping_override
video_000001_w0060,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:36-03:00,2025-08-17T08:06:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,590.0,True,default_zone,warning,mapping_override
video_000001_w0061,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:46-03:00,2025-08-17T08:06:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,600.0,True,default_zone,warning,mapping_override
video_000001_w0062,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:05:56-03:00,2025-08-17T08:06:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,610.0,True,default_zone,warning,mapping_override
video_000001_w0063,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:06-03:00,2025-08-17T08:06:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,620.0,True,default_zone,warning,mapping_override
video_000001_w0064,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:16-03:00,2025-08-17T08:06:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,630.0,True,default_zone,warning,mapping_override
video_000001_w0065,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:26-03:00,2025-08-17T08:06:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,640.0,True,default_zone,warning,mapping_override
