window_id,media_id,system_id,room_id,session_id,start_time,end_time,video_path,video_start_offset_sec,duration_seconds,zone_config_id,zone_id,semantic_type,zone_area_pixels,zone_area_fraction,activity_mean,activity_std,activity_sum,activity_norm,frame_count_used,quality_status,warnings,start_time_dt,end_time_dt
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",70.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,5.572600184677867e-05,0.00037232067891939855,1.1058824774809182,0.0036454361286863773,15,ok,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",70.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,7.476207580718135e-05,0.00032757728865059714,1.917647199705243,0.006321341124604605,15,ok,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",70.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.000591366458684206,0.001393426915941139,300.3372859954834,0.990033222746709,15,ok,mapping_override,2025-08-16 06:01:13-03:00,2025-08-16 06:01:43-03:00
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",80.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,0.0001547285690927917,0.0005529299291083589,3.0705884639173746,0.010070609660048153,15,ok,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",80.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,7.858427070459584e-05,0.00036232006774904825,2.0156865064054728,0.006610847478121017,15,ok,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",80.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0005903472153780361,0.0013953465657929578,299.81964111328125,0.9833185428618308,15,ok,mapping_override,2025-08-16 06:01:23-03:00,2025-08-16 06:01:53-03:00
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",90.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,0.00019622665483135884,0.0006924578240917375,3.8941179923713207,0.012340308820977535,15,ok,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",90.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,9.57076902219948e-05,0.00042609872374062735,2.4549022428691387,0.007779489954249666,15,ok,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",90.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0006088404528175791,0.0014089166341970363,309.21180152893066,0.9798802012247728,15,ok,mapping_override,2025-08-16 06:01:33-03:00,2025-08-16 06:02:03-03:00
video_000003_w0011,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",100.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,0.0001845676689602745,0.0006536963968149697,3.662745422683656,0.011545402506360198,15,ok,mapping_override,2025-08-16 06:01:43-03:00,2025-08-16 06:02:13-03:00
