window_id,media_id,room_id,session_id,start_time,end_time,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning
video_000027_w0203,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:09-03:00,2025-08-17T02:38:39-03:00,0.0568461567163467,0.0032808345276862,0.039288256317377,1098.90478515625,1488.9136962890625,2176.533447265625,0.1017490848898887,30.0,22050,True,ok,
video_000027_w0204,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:19-03:00,2025-08-17T02:38:49-03:00,0.05634156614542,0.0032163900323212,0.0398219153285026,1103.4051513671875,1491.083251953125,2183.566650390625,0.1023524329066276,30.0,22050,True,ok,
video_000027_w0205,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:29-03:00,2025-08-17T02:38:59-03:00,0.0559510812163353,0.0031600703950971,0.0402557887136936,1105.6805419921875,1491.74267578125,2189.933349609375,0.1024244502186775,30.0,22050,True,ok,
video_000027_w0206,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:39-03:00,2025-08-17T02:39:09-03:00,0.0545043237507343,0.0029928169678896,0.0413321815431118,1113.657470703125,1491.6285400390625,2203.39990234375,0.1022105291485786,30.0,22050,True,ok,
video_000027_w0207,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:49-03:00,2025-08-17T02:39:19-03:00,0.0545624755322933,0.0030087642371654,0.0411643795669078,1112.978759765625,1486.5711669921875,2199.7666015625,0.1011535674333572,30.0,22050,True,ok,
video_000027_w0208,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:38:59-03:00,2025-08-17T02:39:29-03:00,0.055703941732645,0.0031575623434036,0.040644321590662,1111.7813720703125,1488.1534423828125,2198.066650390625,0.1010700166225433,30.0,22050,True,ok,
video_000027_w0209,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:09-03:00,2025-08-17T02:39:39-03:00,0.0568041019141674,0.0032863318920135,0.0402421839535236,1104.9805908203125,1486.1107177734375,2190.60009765625,0.100949503481388,30.0,22050,True,ok,
video_000027_w0210,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:19-03:00,2025-08-17T02:39:49-03:00,0.0574948042631149,0.003358288668096,0.0396163091063499,1098.867431640625,1490.7689208984375,2187.333251953125,0.101807102560997,30.0,22050,True,ok,
video_000027_w0211,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:29-03:00,2025-08-17T02:39:59-03:00,0.057162769138813,0.003306416561827,0.0396359600126743,1095.7432861328125,1488.29736328125,2187.033447265625,0.1017739400267601,30.0,22050,True,ok,
video_000027_w0212,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:39-03:00,2025-08-17T02:40:09-03:00,0.0576017312705516,0.0033538972493261,0.0388468094170093,1091.9112548828125,1485.1038818359375,2185.7666015625,0.1010897830128669,30.0,22050,True,ok,
