stage,window_id,media_id,room_id,issue
video_features,media_000002_w0247,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0248,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0249,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0250,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0251,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0252,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0253,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0254,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0255,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0256,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0257,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0258,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0259,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0260,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0261,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0262,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0263,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0264,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0265,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0266,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0267,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0268,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0269,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0270,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0271,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0272,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0273,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0274,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0275,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0276,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0277,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0278,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0279,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0280,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0281,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0282,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0283,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0284,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0285,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0286,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0287,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0288,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0289,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0290,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0291,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0292,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0293,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0294,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0295,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0296,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0297,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0298,media_000002,room_1,no_interval_overlap
video_features,media_000002_w0299,media_000002,room_1,no_interval_overlap
video_features,media_000132_w0001,media_000132,room_1,no_interval_overlap
audio_features,media_000132_w0001,media_000132,room_1,audio_unavailable
