window_id,media_id,room_id,session_id,start_time,end_time,mobility_index,spatial_freedom_index,occupancy_imbalance_index,activity_mean,normalized_activity,resilience_pressure_index,event_phase,event_id,event_type,seconds_from_event_start,seconds_from_event_end,overlaps_event,event_start_time,event_end_time,state_id,state_probability_max,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3,state_label,state_run_length,welfare_risk_score,risk_level,sustained_risk_flag,high_risk_flag
video_000003_w0044,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:13-03:00,2025-08-16T06:07:43-03:00,0.008275515496958366,0.777174115176574,0.348923501558301,3.074691421301641e-05,2.2596277659969064e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.3844779767568047e-242,1.0,6.583258815231057e-38,5.868171260056334e-41,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0045,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:23-03:00,2025-08-16T06:07:53-03:00,0.005643945546393139,0.7642218339416139,0.3645083117750548,2.940310305123243e-05,2.1454614514205257e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.905403938538995e-239,1.0,3.8232984862788935e-39,6.583258805651154e-38,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0046,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:33-03:00,2025-08-16T06:08:03-03:00,0.00880311515615166,0.7751529092169387,0.3586778298092513,2.8481008969312903e-05,2.06712300177877e-05,0.0,outside_event_window,,,,,False,,,1,1.0,9.32273985203432e-241,1.0,8.299770090831952e-39,3.823298481605443e-39,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0047,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:43-03:00,2025-08-16T06:08:13-03:00,0.010717841367019804,0.7238657427309395,0.39436951172300827,2.1531169302354177e-05,1.476684698959431e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.20280501797156e-240,1.0,2.157602906710863e-43,8.29977005798046e-39,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0048,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:07:53-03:00,2025-08-16T06:08:23-03:00,0.009133464634265245,0.6974711577232663,0.40921063750697806,1.9104416169812843e-05,1.2705147627303497e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.2659050757220532e-244,1.0,2.4641257542757886e-45,2.1576028967893307e-43,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0049,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:03-03:00,2025-08-16T06:08:33-03:00,0.013372811465924494,0.7551078384878371,0.3646721550051107,2.309485320323527e-05,1.6095307663257844e-05,0.0,outside_event_window,,,,,False,,,1,1.0,5.832434345694871e-247,1.0,1.0180601779045706e-39,2.4641257502597206e-45,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0050,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:13-03:00,2025-08-16T06:08:43-03:00,0.002799279588036066,0.7481593219839212,0.3667097668310999,2.5568490311034256e-05,1.8196838296638493e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.534123082155558e-241,1.0,1.537877480267823e-40,1.0180601766008747e-39,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0051,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:23-03:00,2025-08-16T06:08:53-03:00,0.005274259836723494,0.7245390569443868,0.3842479812528789,2.5665553373928805e-05,1.8279300271113054e-05,0.0,outside_event_window,,,,,False,,,1,1.0,6.470312073471194e-242,1.0,5.141344971179404e-43,1.5378774757024943e-40,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0052,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:33-03:00,2025-08-16T06:09:03-03:00,0.009159847016587225,0.7045337577698256,0.3997489409820223,2.2988260044420897e-05,1.600474919457586e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.5738271749762225e-244,1.0,5.552428471528217e-45,5.141344948135948e-43,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0053,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:43-03:00,2025-08-16T06:09:13-03:00,0.008926676153901794,0.6820685293516654,0.41172796315096416,2.5909571521523113e-05,1.8486611040608478e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.9582995012739266e-246,1.0,6.427761483910192e-47,5.552428447611871e-45,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
