event_id,phase,metric,n_windows,mean,median,max,std,baseline_mean,fold_change_vs_baseline,mean_minus_baseline
caretaker_entry_room1_week11_2025_08_17,during_entry,audio_spectral_rolloff,14,3974.5166538783483,4004.8333740234375,4738.466796875,503.2017551878797,3033.264370622306,1.310310005409431,941.2522832560421
caretaker_entry_room1_week11_2025_08_17,during_entry,temp_context,14,23.699999999999996,23.7,23.7,3.6868252213847854e-15,23.7,0.9999999999999999,-3.552713678800501e-15
caretaker_entry_room1_week11_2025_08_17,during_entry,rh_context,14,52.0,52.0,52.0,0.0,52.0,1.0,0.0
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,activity_mean,120,0.24390570719330937,0.21496668496790025,0.5699661653488874,0.09998523636243169,0.29230636639205304,0.834418046393739,-0.04840065919874367
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,mobility_index,120,0.16385436390691369,0.1498367292808501,0.3494358908923672,0.05881432500394597,0.19159317401894344,0.8552202589989604,-0.02773881011202975
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,spatial_freedom_index,120,0.9493432194896977,0.9552285709231834,0.9947390959750472,0.034648081356881515,0.9561319012551546,0.9928998480685091,-0.006788681765456883
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,occupancy_imbalance_index,120,0.15705930226063264,0.1536263304189916,0.3193139955997673,0.059815199560515585,0.14345723721951587,1.094816164766251,0.013602065041116773
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,welfare_risk_score,120,0.2236319744819812,0.22363188260836644,0.223642146430952,9.382714517259111e-07,0.22363188360616726,1.000000406363406,9.087581392952515e-08
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_rms,120,0.06513832192867991,0.06510691344738,0.0679507404565811,0.0008725560088179845,0.06455293490455064,1.0090683254757487,0.0005853870241292747
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_short_time_energy,120,0.004273754835594403,0.0042641831096261,0.0046458481810987,0.00011319991305775341,0.004189183566205407,1.0201880075323606,8.457126938899578e-05
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_zero_crossing_rate,120,0.0424784570311506,0.0413352064788341,0.0583790615200996,0.0040956216842738345,0.04374507076010617,0.9710455668045079,-0.0012666137289555693
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_spectral_centroid,120,1394.090205891927,1357.1702270507812,1987.4837646484373,170.4907355600161,1475.44016660493,0.9448639378578165,-81.34996071300293
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_spectral_bandwidth,120,1885.9656036376953,1859.2366333007812,2435.69091796875,183.07653990057744,1986.5020562533675,0.9493902096405132,-100.53645261567226
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,audio_spectral_rolloff,120,2759.62417195638,2617.0333251953125,4775.56689453125,483.8142544736649,3033.264370622306,0.9097868945034336,-273.64019866592616
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,temp_context,120,23.699999999999992,23.7,23.7,7.135219636515924e-15,23.7,0.9999999999999997,-7.105427357601002e-15
caretaker_entry_room1_week11_2025_08_17,post_entry_recovery,rh_context,120,52.0,52.0,52.0,0.0,52.0,1.0,0.0
